country,ai_overall_score,ai_talent,ai_infrastructure,ai_operating_environment,ai_research,ai_development,ai_government_strategy,ai_commercial,ai_scale,ai_intensity,hdi,expected_years_of_schooling,mean_years_of_schooling,internet_usage_pct,gdp_per_capita,rank_ai_overall,rank_hdi,rank_internet,rank_gdp_per_capita,highlight_group,is_top10_ai
Russia,12,4,20,67,3,11,41,5,11,15,0.832,13.2,12.4,94.36495368,14889.0185546875,27.0,48.0,23.0,43.0,Other Countries,False
Estonia,12,9,19,59,4,0,29,13,6,39,0.905,16.0,13.6,92.23796204,31428.3547816104,27.0,30.0,31.0,29.0,Other Countries,False
Malta,12,6,21,68,3,9,35,6,8,29,0.924,15.9,12.4,93.86029816,43898.5781808597,27.0,21.0,25.0,22.0,Other Countries,False
Turkey,11,8,16,79,3,4,48,2,10,16,0.853,19.8,9.0,,,31.0,44.0,,,Other Countries,False
Czech Republic,11,10,19,47,4,3,45,4,8,23,0.915,16.8,13.0,87.68776014,31823.3078290564,31.0,26.0,47.0,28.0,Other Countries,False
Poland,11,11,23,64,3,4,31,4,9,19,0.906,16.7,13.2,88.58496367,25103.565661423,31.0,29.0,43.0,33.0,Other Countries,False
Slovenia,11,8,22,76,5,0,28,5,7,26,0.931,17.5,13.0,90.76355487,34301.0318686594,31.0,18.0,37.0,26.0,Other Countries,False
Chile,11,5,25,65,1,1,41,6,9,17,0.878,16.9,11.3,95.590243,16709.8893972307,31.0,39.0,16.0,42.0,Other Countries,False
Malaysia,10,4,29,68,3,2,24,4,8,16,0.819,12.7,11.1,98.0206059,11874.4273684245,36.0,49.0,9.0,49.0,Malaysia,False
Iceland,10,8,36,51,4,0,2,8,5,30,0.972,18.9,13.9,98.209198,86040.5309851288,36.0,1.0,7.0,6.0,Other Countries,False
Hungary,10,7,23,57,2,3,26,5,8,18,0.87,15.5,12.3,93.77898628,23292.3263882478,36.0,40.0,26.0,38.0,Other Countries,False
Greece,9,10,20,27,5,3,17,7,6,21,0.908,20.8,11.6,86.26968886,24626.1481858973,39.0,28.0,48.0,34.0,Other Countries,False
Thailand,9,3,25,48,1,0,45,2,8,12,0.798,15.4,9.0,90.86718789,7346.62022142185,39.0,53.0,36.0,54.0,Thailand,False
Croatia,9,6,16,50,2,0,2,16,7,19,0.889,16.3,12.1,83.63240029,24050.4397933135,39.0,35.0,52.0,35.0,Other Countries,False
Mexico,9,7,18,70,1,3,28,3,8,12,0.789,14.5,9.3,83.12233799,14185.7812248529,39.0,56.0,53.0,44.0,Other Countries,False
Lithuania,9,6,19,58,2,0,34,3,7,18,0.895,16.5,13.6,89.16116293,29384.0189598663,39.0,33.0,41.0,31.0,Other Countries,False
Argentina,9,7,18,77,1,3,28,2,8,12,0.865,18.8,11.2,89.66715228,13969.7836603737,39.0,41.0,39.0,45.0,Other Countries,False
New Zealand,9,10,23,55,4,4,7,4,6,21,0.938,19.3,12.9,93.51930237,49205.1792146792,39.0,15.0,28.0,20.0,Other Countries,False
Indonesia,9,8,14,55,7,0,19,4,8,11,0.728,13.3,8.7,72.78075544,4925.43048751861,39.0,68.0,64.0,60.0,Indonesia,False
Romania,8,5,22,66,1,7,18,1,7,12,0.845,14.1,11.6,91.29048551,20080.2096215595,47.0,45.0,34.0,40.0,Other Countries,False
Colombia,8,5,19,54,0,1,40,1,7,12,0.788,14.3,9.0,79.34543299,7919.20886825345,47.0,58.0,59.0,53.0,Other Countries,False
Egypt,8,5,16,72,2,0,31,2,7,11,0.754,13.1,10.1,,,47.0,64.0,,,Other Countries,False
Bulgaria,8,6,18,50,2,0,35,1,7,15,0.845,15.3,11.5,82.438955,17596.0173663521,47.0,45.0,55.0,41.0,Other Countries,False
Qatar,8,4,23,36,3,0,38,0,6,16,0.886,13.1,10.8,98.08540344,76688.6941743178,47.0,37.0,8.0,8.0,Other Countries,False
Ukraine,8,5,17,62,1,1,30,2,7,12,0.779,13.3,11.1,82.47489929,5389.47314453125,47.0,60.0,54.0,59.0,Other Countries,False
Uruguay,8,5,21,65,0,0,26,2,6,13,0.862,17.5,10.5,91.99109007,23906.5133029408,47.0,42.0,33.0,36.0,Other Countries,False
Serbia,7,7,17,36,2,0,34,1,6,14,0.833,15.0,11.6,87.69071294,13679.2065983557,54.0,47.0,46.0,46.0,Other Countries,False
Vietnam,7,6,22,44,1,0,23,2,6,10,0.766,15.5,9.0,84.15,4717.29028732449,54.0,62.0,51.0,61.0,Vietnam,False
Mauritius,7,1,15,36,1,0,24,8,5,13,0.806,14.2,10.1,73.30793533,11990.7798944837,54.0,51.0,63.0,48.0,Other Countries,False
Iran,7,3,14,32,3,2,30,0,6,9,0.799,14.0,10.8,,,54.0,52.0,,,Other Countries,False
Peru,7,4,18,64,0,0,21,1,6,9,0.794,14.9,10.2,81.95705992,8452.37167056621,54.0,55.0,56.0,52.0,Other Countries,False
Bahrain,7,2,19,49,2,0,6,7,5,12,0.899,15.9,11.1,100.0,29653.5682731534,54.0,32.0,1.0,30.0,Other Countries,False
Jordan,7,2,20,36,3,3,21,1,5,11,0.754,13.1,10.2,95.62244985,4618.09592498567,54.0,64.0,15.0,62.0,Other Countries,False
Oman,6,1,18,36,1,0,36,0,6,10,0.858,13.4,11.9,95.25174678,20285.2272897377,61.0,43.0,19.0,39.0,Other Countries,False
Armenia,6,8,16,49,0,1,2,6,5,14,0.811,14.4,11.3,81.33930206,8556.21406956719,61.0,50.0,58.0,51.0,Other Countries,False
Slovakia,6,7,18,58,2,0,0,4,5,13,0.88,14.9,13.1,,,61.0,38.0,,,Other Countries,False
Philippines,6,1,16,79,0,0,12,1,5,8,0.72,12.8,10.0,67.26300914,3984.8315387656,61.0,69.0,66.0,66.0,Philippines,False
Rwanda,6,2,2,68,0,0,29,2,5,9,0.578,12.6,4.9,31.70330048,999.65456165547,61.0,76.0,74.0,75.0,Other Countries,False
South Africa,5,2,12,49,1,3,2,6,5,8,0.741,13.8,11.6,78.35759735,6267.186814093,66.0,67.0,60.0,56.0,Other Countries,False
Latvia,5,5,19,50,2,0,5,1,4,12,0.889,16.5,13.4,92.70757011,23409.0845154775,66.0,35.0,30.0,37.0,Other Countries,False
Tunisia,5,4,14,36,2,0,15,2,4,10,0.746,14.7,7.6,76.5,4181.13789301228,66.0,66.0,62.0,64.0,Other Countries,False
Ghana,5,1,11,36,0,0,24,3,4,8,0.628,11.4,7.1,72.17569733,2390.77237652715,66.0,74.0,65.0,69.0,Other Countries,False
Nigeria,5,1,5,58,1,0,25,1,5,7,0.56,10.5,7.6,41.21139908,1084.16041805436,66.0,77.0,71.0,74.0,Other Countries,False
Benin,5,0,3,45,0,0,36,1,5,7,0.515,10.4,3.2,33.98379898,1485.38018885134,66.0,79.0,73.0,71.0,Other Countries,False
Bangladesh,5,2,12,44,1,0,22,0,5,6,0.685,12.3,6.8,53.42171316,2593.41611680774,66.0,72.0,70.0,68.0,Other Countries,False
Pakistan,5,4,8,44,1,0,19,1,5,6,0.544,7.9,4.3,57.253,1478.77277977996,66.0,78.0,68.0,72.0,Other Countries,False
Iraq,4,1,15,37,1,0,15,1,4,6,0.695,12.4,6.8,81.47450256,6073.61032342708,74.0,71.0,57.0,57.0,Other Countries,False
Azerbaijan,4,3,16,55,0,0,6,0,4,6,0.789,12.9,11.1,90.43979645,7283.8499076179,74.0,56.0,38.0,55.0,Other Countries,False
Morocco,4,3,16,49,1,1,3,0,4,7,0.71,15.1,6.2,91.2,4153.1943359375,74.0,70.0,35.0,65.0,Other Countries,False
Algeria,4,2,14,40,1,0,10,0,4,6,0.763,15.5,7.4,77.4178009,5752.99076651465,74.0,63.0,61.0,58.0,Other Countries,False
Kenya,4,1,5,68,0,0,2,3,3,6,0.628,11.5,8.6,34.97622513,2132.43452097647,74.0,74.0,72.0,70.0,Other Countries,False
Sri Lanka,4,4,11,45,0,0,3,2,3,7,0.776,13.1,10.8,54.59,4515.56787322732,74.0,61.0,69.0,63.0,Other Countries,False
Ethiopia,2,1,1,36,0,0,2,1,2,2,0.497,9.2,2.4,21.94129944,1133.88279681719,80.0,80.0,75.0,73.0,Other Countries,False
